machine_id,logical_cpus,physical_cores,sockets,threads_per_core,core_budget,branch_count,workers,omp_threads,core_demand,core_utilization,oversubscribed,runs,eval_avg_ms,eval_min_ms,eval_max_ms,speedup_vs_single_thread,avg_branch_time_ms,max_branch_time_ms,branch_work_sum_ms,merge_tail_avg_ms
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,4,3,12,0.09375,False,3,768.3753333333333,757.365,775.328,3.4505489070879425,112.95668055555556,139.05533333333332,2710.9603333333334,77.7541
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,6,3,18,0.140625,False,3,576.2496666666667,559.949,595.898,4.6009860309391355,122.54631944444444,153.56566666666666,2941.111666666666,76.4714
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,8,3,24,0.1875,False,3,487.616,481.823,490.522,5.437304490965569,133.414625,169.62466666666666,3201.951,74.98563333333334
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,12,3,36,0.28125,False,3,422.9676666666667,399.143,448.277,6.268367243201411,155.65820833333333,204.87333333333333,3735.797,88.68376666666667
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,16,3,48,0.375,False,3,398.17,393.915,401.924,6.658755472955438,174.298625,221.575,4183.167,75.5669
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,24,3,72,0.5625,False,3,356.04133333333334,352.594,358.611,7.44665413378971,253.36668055555555,279.78066666666666,6080.800333333334,75.74086666666666
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,1,4,4,0.03125,False,3,2165.1366666666668,2058.9,2367.68,0.9769206254878444,87.15953472222222,112.357,2091.8288333333335,72.39383333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,2,4,8,0.0625,False,3,1136.8033333333333,1096.43,1172.64,1.8606267281646487,87.11371805555555,111.21533333333333,2090.729233333333,71.51236666666667
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,3,4,12,0.09375,False,3,781.0833333333334,775.062,784.308,2.7079910380881254,89.19219861111111,114.40266666666666,2140.6127666666666,63.67666666666667
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,4,4,16,0.125,False,3,634.4423333333333,616.833,660.546,3.33389900947131,93.60068194444445,120.25333333333333,2246.416366666667,62.561233333333334
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,6,4,24,0.1875,False,3,530.3673333333334,520.404,546.43,3.9881164123984503,107.47185,152.716,2579.3244,64.66686666666666
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,8,4,32,0.25,False,3,453.1503333333333,446.409,464.389,4.6676930613902226,118.47193194444445,164.26033333333334,2843.3263666666667,65.4812
