machine_id,logical_cpus,physical_cores,sockets,threads_per_core,core_budget,branch_count,workers,omp_threads,core_demand,core_utilization,oversubscribed,mode,run_index,eval_ms,avg_branch_time_ms,max_branch_time_ms,branch_work_sum_ms,merge_tail_ms
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,16,1,16,0.250000,False,manual-parallel,2,625.512000,253.065583,274.595000,6073.574000,140.313000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,16,1,16,0.250000,False,manual-parallel,3,615.209000,248.290917,270.107000,5958.982000,139.278000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,24,1,24,0.375000,False,manual-parallel,1,458.586000,316.313583,319.664000,7591.526000,138.417000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,24,1,24,0.375000,False,manual-parallel,2,460.115000,316.956167,320.214000,7606.948000,139.536000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,24,1,24,0.375000,False,manual-parallel,3,458.451000,317.917708,321.305000,7630.025000,136.768000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,1,2,2,0.031250,False,single-thread,1,3124.660000,126.548542,149.111000,3037.165000,87.025900
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,1,2,2,0.031250,False,single-thread,2,3123.510000,126.481792,149.108000,3035.563000,87.384300
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,1,2,2,0.031250,False,single-thread,3,3222.010000,130.543000,205.528000,3133.032000,88.439900
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,1,2,2,0.031250,False,manual-parallel,1,3090.030000,125.085625,147.725000,3002.055000,87.220700
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,1,2,2,0.031250,False,manual-parallel,2,3093.360000,125.234458,148.629000,3005.627000,86.980200
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,1,2,2,0.031250,False,manual-parallel,3,3095.840000,125.335750,147.837000,3008.058000,86.995100
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,2,2,4,0.062500,False,manual-parallel,1,1586.780000,124.814833,152.972000,2995.556000,88.530200
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,2,2,4,0.062500,False,manual-parallel,2,1597.990000,125.874333,154.724000,3020.984000,87.028300
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,2,2,4,0.062500,False,manual-parallel,3,1788.620000,140.312000,196.359000,3367.488000,93.305900
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,3,2,6,0.093750,False,manual-parallel,1,1260.530000,138.017667,161.789000,3312.424000,88.604400
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,3,2,6,0.093750,False,manual-parallel,2,1241.620000,134.469000,185.787000,3227.256000,85.887100
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,3,2,6,0.093750,False,manual-parallel,3,1316.880000,148.204583,218.596000,3556.910000,94.111700
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,4,2,8,0.125000,False,manual-parallel,1,935.894000,134.709708,188.781000,3233.033000,91.392000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,4,2,8,0.125000,False,manual-parallel,2,976.011000,139.726917,170.632000,3353.446000,101.714000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,4,2,8,0.125000,False,manual-parallel,3,1035.920000,153.594500,220.123000,3686.268000,92.558900
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,6,2,12,0.187500,False,manual-parallel,1,643.372000,138.558708,163.722000,3325.409000,86.146600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,6,2,12,0.187500,False,manual-parallel,2,724.634000,150.898833,205.331000,3621.572000,92.045000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,6,2,12,0.187500,False,manual-parallel,3,708.509000,147.745458,196.938000,3545.891000,91.860600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,8,2,16,0.250000,False,manual-parallel,1,568.565000,152.862417,204.456000,3668.698000,91.681500
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,8,2,16,0.250000,False,manual-parallel,2,591.281000,157.372833,237.136000,3776.948000,92.335100
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,8,2,16,0.250000,False,manual-parallel,3,567.120000,151.951708,201.201000,3646.841000,90.797700
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,12,2,24,0.375000,False,manual-parallel,1,470.160000,179.869375,230.573000,4316.865000,92.316600
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,12,2,24,0.375000,False,manual-parallel,2,452.552000,170.659292,217.779000,4095.823000,87.186000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,12,2,24,0.375000,False,manual-parallel,3,465.593000,178.962292,224.882000,4295.095000,85.894000
