machine_id,logical_cpus,physical_cores,sockets,threads_per_core,core_budget,branch_count,workers,omp_threads,core_demand,core_utilization,oversubscribed,mode,run_index,eval_ms,avg_branch_time_ms,max_branch_time_ms,branch_work_sum_ms,merge_tail_ms
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,16,1,16,0.125000,False,manual-parallel,2,621.447000,251.691417,281.480000,6040.594000,139.622000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,16,1,16,0.125000,False,manual-parallel,3,621.631000,251.468042,274.764000,6035.233000,139.872000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,24,1,24,0.187500,False,manual-parallel,1,461.090000,314.492792,322.965000,7547.827000,137.780000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,24,1,24,0.187500,False,manual-parallel,2,462.064000,318.846708,322.394000,7652.321000,139.266000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,24,1,24,0.187500,False,manual-parallel,3,484.541000,344.634917,344.882000,8271.238000,139.276000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,1,2,2,0.015625,False,single-thread,1,3159.040000,127.914917,150.910000,3069.958000,88.663500
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,1,2,2,0.015625,False,single-thread,2,3778.050000,151.839000,177.629000,3644.136000,133.138000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,1,2,2,0.015625,False,single-thread,3,3099.290000,125.495667,147.525000,3011.896000,86.909000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,1,2,2,0.015625,False,manual-parallel,1,3107.370000,125.815000,148.353000,3019.560000,87.033800
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,128,24,1,2,2,0.015625,False,manual-parallel,2,3113.560000,126.068292,148.355000,3025.639000,87.160700
