machine_id,logical_cpus,physical_cores,sockets,threads_per_core,core_budget,branch_count,workers,omp_threads,core_demand,core_utilization,oversubscribed,runs,eval_avg_ms,eval_min_ms,eval_max_ms,speedup_vs_single_thread,avg_branch_time_ms,max_branch_time_ms,branch_work_sum_ms,merge_tail_avg_ms
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,3,3,9,0.140625,False,3,947.115,927.407,961.796,2.733219654776171,107.71490277777778,139.3563333333333,2585.1576666666665,75.16046666666666
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,4,3,12,0.1875,False,3,754.2146666666666,744.985,766.432,3.432276575546131,111.38252777777778,144.993,2673.1806666666666,75.98193333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,6,3,18,0.28125,False,3,562.7473333333334,557.549,568.019,4.60006326107276,120.79830555555556,148.38833333333332,2899.1593333333335,74.96363333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,8,3,24,0.375,False,3,482.89233333333334,468.257,495.318,5.3607670999125405,130.91081944444446,162.14733333333334,3141.8596666666667,75.24273333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,12,3,36,0.5625,False,3,416.53866666666664,408.337,428.388,6.2147251635702485,155.25788888888889,209.98833333333332,3726.1893333333333,78.7389
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,16,3,48,0.75,False,3,385.63,381.193,389.845,6.712842188972158,170.69966666666667,225.088,4096.7919999999995,73.71636666666667
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,24,3,72,1.125,True,3,363.44533333333334,349.658,372.728,7.122593402400727,259.83618055555553,289.09566666666666,6236.068333333333,73.9422
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,1,4,4,0.0625,False,3,2143.6566666666668,2038.74,2314.94,0.9833353288850671,86.37979027777777,118.479,2073.114966666667,69.67126666666667
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,2,4,8,0.125,False,3,1103.3066666666666,1098.55,1112.63,1.910559771837386,85.88530138888889,111.47066666666667,2061.2472333333335,69.579
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,64,24,3,4,12,0.1875,False,3,786.654,772.604,813.498,2.679619417600792,89.49863888888889,119.63333333333333,2147.9673333333335,62.229166666666664
