machine_id,logical_cpus,physical_cores,sockets,threads_per_core,budget_mode,core_budget,branch_count,rns_width,workers,omp_threads,requested_omp_threads,effective_workers,core_demand,core_utilization,oversubscribed,runs,eval_mean_ms,eval_median_ms,eval_stddev_ms,eval_min_ms,eval_max_ms,baseline_eval_median_ms,speedup_vs_single_thread_mean,speedup_vs_single_thread_median,avg_branch_time_mean_ms,max_branch_time_mean_ms,branch_work_sum_mean_ms,merge_tail_mean_ms
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,1,1,1,1,1,0.015625,False,3,5260.139999999999,5271.41,231.4308974618557,5023.28,5485.73,5017.26,0.9559016806903747,0.9517870930168589,212.49558333333334,270.189,5099.893999999999,159.33333333333334
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,2,1,1,2,2,0.03125,False,3,2606.5,2601.59,12.716968978494913,2596.97,2620.94,5017.26,1.9290913741287807,1.9285360106703977,204.4128611111111,227.94033333333334,4905.908666666666,150.28066666666666
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,3,1,1,3,3,0.046875,False,3,1864.0533333333333,1797.21,123.96157321256183,1787.86,2007.09,5017.26,2.697442490915854,2.7916937920443354,214.12445833333334,292.00866666666667,5138.987,150.468
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,4,1,1,4,4,0.0625,False,3,1413.9066666666668,1412.75,2.020750685595166,1412.73,1416.24,5017.26,3.556229548390747,3.5514139090426475,208.4337361111111,233.10966666666667,5002.409666666666,161.126
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,5,1,1,5,5,0.078125,False,3,1226.11,1225.57,2.474590875276111,1223.95,1228.81,5017.26,4.1009180796720255,4.093817570599803,211.62218055555556,236.05333333333334,5078.932333333333,167.21433333333334
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,6,1,1,6,6,0.09375,False,3,1012.5466666666666,1014.38,7.421814692737439,1004.38,1018.88,5017.26,4.9658715318470925,4.946134584672411,216.34941666666666,239.17233333333334,5192.3859999999995,138.59333333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,7,1,1,7,7,0.109375,False,3,1003.5566666666666,1003.65,0.2343786110833155,1003.29,1003.73,5017.26,5.010356498719555,4.999013600358691,219.3326111111111,243.46833333333333,5263.982666666667,138.80633333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,8,1,1,8,8,0.125,False,3,817.5656666666666,816.842,2.8278218355004743,815.17,820.685,5017.26,6.15018080097134,6.142264966786723,225.26647222222223,245.87633333333332,5406.395333333333,138.48466666666667
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,9,1,1,9,9,0.140625,False,3,826.0816666666667,823.954,15.72582367742096,811.528,842.763,5017.26,6.086779152182291,6.089247700721157,227.7496111111111,248.85999999999999,5465.990666666666,137.351
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,10,1,1,10,10,0.15625,False,3,812.445,812.642,0.5686941181338451,811.804,812.889,5017.26,6.188944072111548,6.174010203755159,230.45215277777777,252.503,5530.851666666667,139.42033333333333
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,11,1,1,11,11,0.171875,False,3,821.1656666666667,819.086,10.688335713914189,811.67,832.741,5017.26,6.123218335561197,6.125437377760089,244.2326527777778,308.07466666666664,5861.583666666666,140.28266666666667
