machine_id,logical_cpus,physical_cores,sockets,threads_per_core,budget_mode,core_budget,branch_count,rns_width,mode,requested_workers,effective_workers,omp_threads,requested_omp_threads,core_demand,core_utilization,oversubscribed,run_index,eval_ms,avg_branch_time_ms,max_branch_time_ms,branch_work_sum_ms,merge_tail_ms
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,single-thread,1,1,1,1,1,0.015625,False,1,5017.260000,203.248625,226.347000,4877.967000,138.927000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,single-thread,1,1,1,1,1,0.015625,False,2,5069.680000,205.392708,229.613000,4929.425000,139.851000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,single-thread,1,1,1,1,1,0.015625,False,3,4997.590000,202.465292,226.494000,4859.167000,138.060000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,1,1,1,1,1,0.015625,False,1,5023.280000,202.539792,232.785000,4860.955000,161.381000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,1,1,1,1,1,0.015625,False,2,5271.410000,212.618250,252.222000,5102.838000,167.710000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,1,1,1,1,1,0.015625,False,3,5485.730000,222.328708,325.560000,5335.889000,148.909000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,2,2,1,1,2,0.031250,False,1,2601.590000,204.214375,228.175000,4901.145000,150.492000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,2,2,1,1,2,0.031250,False,2,2620.940000,205.227625,229.005000,4925.463000,149.702000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,2,2,1,1,2,0.031250,False,3,2596.970000,203.796583,226.641000,4891.118000,150.648000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,3,3,1,1,3,0.046875,False,1,1787.860000,204.035958,228.130000,4896.863000,155.094000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,3,3,1,1,3,0.046875,False,2,2007.090000,233.418083,417.452000,5602.034000,138.864000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,3,3,1,1,3,0.046875,False,3,1797.210000,204.919333,230.444000,4918.064000,157.446000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,4,4,1,1,4,0.062500,False,1,1416.240000,208.528125,232.888000,5004.675000,160.797000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,4,4,1,1,4,0.062500,False,2,1412.730000,208.655167,233.382000,5007.724000,159.021000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,4,4,1,1,4,0.062500,False,3,1412.750000,208.117917,233.059000,4994.830000,163.560000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,5,5,1,1,5,0.078125,False,1,1225.570000,211.175792,234.800000,5068.219000,168.746000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,5,5,1,1,5,0.078125,False,2,1223.950000,211.237542,236.433000,5069.701000,167.433000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,5,5,1,1,5,0.078125,False,3,1228.810000,212.453208,236.927000,5098.877000,165.464000
sthl_Intel(R)_Xeon(R)_Platinum_8375C_CPU_@_2.90GHz_64c128t,128,64,2,2,physical,64,24,16,manual-parallel,6,6,1,1,6,0.093750,False,1,1004.380000,216.208542,239.151000,5189.005000,139.197000
